sim_cycles,mixed_or_same,mem_or_coh,config,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
1b,mixed,mem,kite_medium,0_29,40422990.926211,9309101.0,9309368.0
1b,mixed,mem,ns_m_memopt,0_01
1b,mixed,mem,ns_m_memopt,0_02
1b,mixed,mem,ns_m_memopt,0_03
1b,mixed,mem,ns_m_memopt,0_04
1b,mixed,mem,ns_m_memopt,0_05
1b,mixed,mem,ns_m_memopt,0_06
1b,mixed,mem,ns_m_memopt,0_07
1b,mixed,mem,ns_m_memopt,0_08
1b,mixed,mem,ns_m_memopt,0_09
1b,mixed,mem,ns_m_memopt,0_1
1b,mixed,mem,ns_m_memopt,0_11
1b,mixed,mem,ns_m_memopt,0_12
1b,mixed,mem,ns_m_memopt,0_13
1b,mixed,mem,ns_m_memopt,0_14
1b,mixed,mem,ns_m_memopt,0_15
1b,mixed,mem,ns_m_memopt,0_16
1b,mixed,mem,ns_m_memopt,0_17
1b,mixed,mem,ns_m_memopt,0_18
1b,mixed,mem,ns_m_memopt,0_19
1b,mixed,mem,lpbt_m_latop,0_01,9277.589318,359870.0,359872.0
1b,mixed,mem,lpbt_m_latop,0_02,9397.94894,719813.0,719818.0
1b,mixed,mem,lpbt_m_latop,0_03,9538.882098,1079451.0,1079458.0
1b,mixed,mem,lpbt_m_latop,0_04,9690.724708,1438058.0,1438068.0
1b,mixed,mem,lpbt_m_latop,0_05,9859.412715,1796348.0,1796367.0
1b,mixed,mem,lpbt_m_latop,0_06,10041.613227,2155389.0,2155407.0
1b,mixed,mem,lpbt_m_latop,0_07,10249.56182,2515133.0,2515163.0
1b,mixed,mem,lpbt_m_latop,0_08,10483.590462,2874587.0,2874616.0
1b,mixed,mem,lpbt_m_latop,0_09,10759.307009,3233999.0,3234032.0
1b,mixed,mem,lpbt_m_latop,0_1,11094.130454,3593839.0,3593887.0
1b,mixed,mem,lpbt_m_latop,0_11,11506.472485,3952420.0,3952472.0
1b,mixed,mem,lpbt_m_latop,0_12,12094.738769,4311890.0,4311937.0
1b,mixed,mem,lpbt_m_latop,0_13,13312.831864,4671482.0,4671519.0
1b,mixed,mem,lpbt_m_latop,0_14,78734.445896,5031116.0,5031206.0
1b,mixed,mem,lpbt_m_latop,0_15,6419714.812296,5304387.0,5304483.0
1b,mixed,mem,lpbt_m_latop,0_16,9825323.77651,5574958.0,5575081.0
1b,mixed,mem,lpbt_m_latop,0_17,16002417.765536,5802125.0,5802261.0
