sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_2,7622.412899,7642.889471,22679470.0,22679553.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_21,7854.614632,7939.248267,23812519.0,23812603.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_22,8141.931977,8318.40468,24946190.0,24946277.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_23,8495.356003,8801.082688,26078765.0,26078856.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_24,8965.370738,9465.884696,27213384.0,27213490.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_25,9617.994377,10423.03991,28346842.0,28346956.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_26,10631.00012,11965.687544,29480167.0,29480291.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_27,12426.714615,14796.007716,30612432.0,30612563.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_28,16951.282329,22155.1302,31745019.0,31745142.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_29,346043.347737,570509.510118,32868529.0,32868668.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_3,13330618.538999,22406739.277151,33573444.0,33573590.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_31,31644562.388637,53892210.547172,34050530.0,34050677.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_32,47841239.842014,82507051.782692,34533755.0,34533894.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_33,62541402.136865,109211940.719765,35018130.0,35018282.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_34,75971508.128819,134322561.144597,35495677.0,35495837.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_01,8989.285171,8851.153241,755112.0,755113.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_02,9055.252923,8908.300689,1509782.0,1509788.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_03,9124.221563,8967.245861,2262962.0,2262975.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_04,9194.516409,9028.294738,3015893.0,3015904.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_05,9265.556557,9092.956453,3769073.0,3769090.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_06,9343.556764,9163.041829,4522964.0,4522993.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_07,9423.462516,9236.240453,5278121.0,5278140.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_08,9506.967784,9313.60457,6033789.0,6033822.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_09,9593.495052,9395.909827,6788907.0,6788934.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_1,9684.136179,9483.620014,7542216.0,7542249.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_11,9782.238118,9581.292737,8296268.0,8296305.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_12,9890.473331,9689.914406,9051419.0,9051459.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_13,10001.665492,9804.199614,9806373.0,9806427.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_14,10122.991856,9932.894113,10561968.0,10562017.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_15,10255.28098,10073.483048,11318029.0,11318081.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_16,10399.041076,10231.862307,12072613.0,12072677.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_17,10558.306465,10410.876053,12827618.0,12827690.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_18,10733.858829,10614.031391,13581662.0,13581730.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_19,10928.232958,10843.87245,14337222.0,14337283.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_2,11154.709429,11120.17087,15090322.0,15090413.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_21,11408.697511,11435.567016,15845451.0,15845529.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_22,11711.061068,11823.703037,16600709.0,16600790.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_23,12072.295224,12303.473088,17354135.0,17354232.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_24,12520.655636,12918.89677,18107795.0,18107905.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_25,13080.224243,13707.129191,18861892.0,18862014.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_26,13849.652776,14834.417056,19615834.0,19615941.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_27,14958.611743,16510.444135,20368510.0,20368610.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_28,16761.935685,19323.612464,21124003.0,21124133.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_29,20293.295664,24997.19848,21877324.0,21877453.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_3,30785.022106,42248.746009,22632973.0,22633119.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_31,1205354.114293,2001209.18952,23363931.0,23364095.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_32,17833744.979949,30066876.526703,23723773.0,23723911.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_33,34614535.144742,59077876.390708,24047332.0,24047484.0
2b,mixed,coh,mclb_hops_4_6,ft_x,uniform_random,20cpus,160dirs,1.8GHz,0_34,49910201.981545,86214520.489162,24365871.0,24366044.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_01,5201.337096,5094.118718,1384767.0,1384770.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_02,5251.772532,5141.360534,2769793.0,2769799.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_03,5306.721585,5191.379859,4151659.0,4151666.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_04,5364.493675,5244.146699,5534823.0,5534837.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_05,5426.200582,5301.95279,6917613.0,6917628.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_06,5492.338474,5363.684098,8300444.0,8300464.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_07,5561.941102,5429.382092,9684246.0,9684262.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_08,5639.764826,5503.974266,11069133.0,11069164.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_09,5721.163037,5583.35051,12453941.0,12453977.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_1,5810.256398,5671.172433,13836470.0,13836500.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_11,5910.988657,5771.910112,15220510.0,15220556.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_12,6021.97674,5885.973499,16607686.0,16607722.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_13,6145.108269,6014.412682,17993653.0,17993703.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_14,6283.765589,6162.786936,19380473.0,19380516.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_15,6443.589471,6337.819751,20766957.0,20767020.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_16,6626.086398,6543.709657,22154156.0,22154234.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_17,6843.916314,6796.699413,23541556.0,23541626.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_18,7103.061839,7108.661547,24926715.0,24926795.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_19,7420.99134,7504.80627,26312400.0,26312482.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_2,7835.4995,8045.431423,27695500.0,27695585.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_21,8392.725327,8806.426198,29081797.0,29081882.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_22,9213.175458,9986.657285,30465380.0,30465480.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_23,10591.339894,12075.780744,31846517.0,31846648.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_24,13828.320525,17232.326343,33231535.0,33231662.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_25,127107.657745,205779.570119,34613194.0,34613338.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_26,14234248.347715,23942775.964546,35501126.0,35501287.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_27,35453707.920522,60556892.245103,36067562.0,36067712.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_28,54268891.165978,94090917.644513,36636393.0,36636550.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_29,70857957.261267,124672987.409647,37203871.0,37204043.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_3,85597568.205906,152813846.477559,37770886.0,37771032.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_31,98645509.177877,178645823.276087,38337435.0,38337595.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_32,110113014.616155,202239242.732829,38902519.0,38902672.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_33,120325044.447639,224089152.308365,39468491.0,39468651.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,3.3GHz,0_34,129342165.354056,244212051.02546,40033179.0,40033334.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.4GHz,0_01,6608.134616,6465.798348,1006246.0,1006248.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.4GHz,0_02,6658.485227,6514.486757,2012834.0,2012843.0
