bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
freqmine,ns_l_latop_noci_augmclb_hops,,43008524000.0,142250.0,28300.21653,95537234.0,86017048.0
freqmine,mesh_noci_naive_hops,,43302429500.0,130081.0,38662.94799,96897329.0,86604859.0
freqmine,butter_donut_x_noci_augmclb_hops,,43080553000.0,147418.0,31548.052032,95910077.0,86161106.0
freqmine,ns_l_scop_noci_augmclb_hops,,43032317500.0,144937.0,27553.012297,95529738.0,86064635.0
freqmine,ns_l_bwop_noci_augmclb_hops,,42954293000.0,144941.0,26532.369651,95512041.0,85908586.0
freqmine,lpbt_s_latop_noci_augmclb_hops,,42620998500.0,141439.0,28369.101481,94203959.0,85241997.0
freqmine,lpbt_s_power_noci_augmclb_hops,,42794183500.0,121664.0,22821.347752,94438382.0,85588367.0
freqmine,ns_s_bwop_noci_augmclb_hops,,42589613500.0,125262.0,23832.589907,93892756.0,85179227.0
freqmine,ns_m_latop_noci_augmclb_hops,,42944952500.0,127922.0,28820.787714,95232272.0,85889905.0
freqmine,kite_small_noci_augmclb_hops,,42903162000.0,132627.0,22211.008769,94596378.0,85806324.0
freqmine,lpbt_m_latop_noci_augmclb_hops,,43350854000.0,127474.0,26687.888962,96214469.0,86701708.0
freqmine,ns_s_scop_noci_augmclb_hops,,42824572500.0,135165.0,22007.557141,94470186.0,85649145.0
freqmine,kite_medium_noci_augmclb_hops,,42978294500.0,138071.0,26725.793929,95240110.0,85956589.0
freqmine,kite_large_noci_augmclb_hops,,42976559500.0,136468.0,32435.721565,95564263.0,85953119.0
blackscholes,mesh_noci_naive_hops,,7115137500.0,12897029.0,339086.878225,800570645.0,14065200.0
blackscholes,ns_s_latop_noci_augmclb_hops,,6761685500.0,11914311.0,74091.979187,762445204.0,13520437.0
blackscholes,lpbt_s_latop_noci_augmclb_hops,,7301217000.0,12577238.0,95974.412008,801119733.0,14602430.0
blackscholes,lpbt_m_latop_noci_augmclb_hops,,6916415500.0,12495639.0,192540.947404,787095403.0,13735326.0
