bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
vips,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
vips,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
x264,kite_large_noci_cload_picky_hops,,3328746500.0,33687.0,18314.73482,9684339.0,2900458.0
x264,ns_l_bwop_noci_cload_picky_hops,,3305349000.0,33097.0,18084.41015,9601338.0,2893273.0
x264,ns_l_latop_noci_cload_picky_hops,,3304932500.0,32790.0,18062.400216,9601536.0,2882760.0
x264,ns_m_bwop_noci_cload_picky_hops,,3337905000.0,33370.0,18464.260799,9716318.0,2912395.0
x264,ns_m_latop_noci_cload_picky_hops,,3337967500.0,33359.0,18488.15976,9720341.0,2913677.0
x264,ns_s_bwop_noci_cload_picky_hops,,3216540000.0,33156.0,17414.670915,9447970.0,2821491.0
x264,ns_s_latop_noci_cload_picky_hops,,3206060000.0,32219.0,17325.657517,9309285.0,2797613.0
x264,kite_medium_noci_cload_picky_hops,,3385788000.0,34529.0,18885.410155,9987433.0,2964892.0
x264,kite_small_noci_cload_picky_hops,,3210092500.0,32237.0,17470.755541,9340083.0,2806070.0
x264,cmesh_x_noci_cload_picky_hops,,3242937500.0,33207.0,17780.930097,9468605.0,2831765.0
x264,mesh_noci_cload_picky_hops,,3468208000.0,37137.0,20021.020041,10318966.0,3015186.0
x264,ft_x_noci_cload_picky_hops,,3385998000.0,34890.0,18893.542101,9866193.0,2960684.0
x264,dbl_bfly_x_noci_cload_picky_hops,,3354401500.0,33653.0,18550.488412,9775545.0,2925042.0
x264,butter_donut_x_noci_cload_picky_hops,,3338765000.0,33248.0,18429.992847,9717339.0,2918728.0
x264,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,3210356000.0,32272.0,17496.768101,9359368.0,2804581.0
x264,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,3249164500.0,32659.0,17857.970382,9467026.0,2846173.0
x264,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,3347166000.0,34971.0,18698.940205,9775272.0,2900434.0
